iter	Logloss
0	0.5642183623
1	0.5153965811
2	0.4849274292
3	0.4384852311
4	0.4219134573
5	0.405151249
6	0.3821862296
7	0.3644677514
8	0.3543188934
9	0.3510207096
10	0.3474643577
11	0.3403949972
12	0.3383196048
13	0.3367202
14	0.3349415513
15	0.333517726
16	0.3319901921
17	0.3204341172
18	0.3193754587
19	0.3176905692
20	0.3169072978
21	0.3153943234
22	0.3145726538
23	0.3135457147
24	0.3128890646
25	0.3119543481
26	0.3088961085
27	0.3083072709
28	0.3078108727
29	0.3074202122
30	0.3044019075
31	0.3041272296
32	0.3030596463
33	0.3022005834
34	0.300520304
35	0.2995995164
36	0.2985799259
37	0.2979625606
38	0.296942576
39	0.2922006685
40	0.291436803
41	0.289968413
42	0.2891587614
43	0.288583045
44	0.2882127756
45	0.2876801069
46	0.2869981011
47	0.2862204052
48	0.2848981213
49	0.2836667794
50	0.2829712387
51	0.2816251554
52	0.2803268876
53	0.2797913819
54	0.2788280982
55	0.2777358093
56	0.2768283004
57	0.2761847913
58	0.2757329578
59	0.2730770813
60	0.2725654341
61	0.2711246655
62	0.2697405781
63	0.2692334032
64	0.2685522839
65	0.2683165361
66	0.267848311
67	0.2671969606
68	0.2667062758
69	0.2659156755
70	0.2650833869
71	0.2637768641
72	0.2630025766
73	0.2623710263
74	0.2620589156
75	0.2615014231
76	0.2609482846
77	0.2602977223
78	0.2597482877
79	0.2593038816
80	0.2590798956
81	0.2589528802
82	0.2581937629
83	0.2574650449
84	0.2567765967
85	0.2558323249
86	0.2551775859
87	0.2546876891
88	0.2542713577
89	0.2539406094
90	0.2535448856
91	0.2531813541
92	0.2528960374
93	0.2526291022
94	0.2521776036
95	0.2517737234
96	0.2511140985
97	0.2508837292
98	0.2504647183
99	0.2498848646
100	0.249512034
101	0.2488062288
102	0.2482757667
103	0.2479296118
104	0.2476920909
105	0.2471654312
106	0.2467168681
107	0.246223957
108	0.2458538846
109	0.2454987656
110	0.2449281322
111	0.2444382354
112	0.2442141115
113	0.2439066897
114	0.2431619741
115	0.2428065399
116	0.2425500465
117	0.2422574993
118	0.2419583719
119	0.241609183
120	0.2409503658
121	0.2404964834
122	0.2400510528
123	0.2391732144
124	0.2387936064
125	0.2385994485
126	0.2383613956
127	0.2375399428
128	0.2370760125
129	0.2367399645
130	0.2365448806
131	0.2362404929
132	0.2360900918
133	0.2359534424
134	0.2351264929
135	0.2346843328
136	0.2343052174
137	0.2339155617
138	0.2335826463
139	0.232036396
140	0.2317689683
141	0.2313960588
142	0.2310304586
143	0.2307193527
144	0.2304815363
145	0.2300710955
146	0.2293306945
147	0.2291598631
148	0.228844876
149	0.2284477534
150	0.2282275501
151	0.2279290334
152	0.2275607735
153	0.2272682658
154	0.2267564216
155	0.2264527431
156	0.2259517741
157	0.2256008121
158	0.2254338815
159	0.2250939721
160	0.2248498314
161	0.2242725193
162	0.2240650037
163	0.223738767
164	0.2235744567
165	0.2232617156
166	0.2230373158
167	0.2227632487
168	0.2224282646
169	0.2221360524
170	0.2217416683
171	0.2212289179
172	0.220847852
173	0.2205534726
174	0.2202838777
175	0.2201155483
176	0.2197993791
177	0.2194308828
178	0.2190584265
179	0.2186248563
180	0.2183771694
