iter	Passed	Remaining
0	14	13579
1	71	32560
2	86	26190
3	111	25262
4	120	21911
5	130	19721
6	140	18191
7	149	16970
8	161	16214
9	169	15345
10	179	14759
11	193	14511
12	202	14029
13	208	13388
14	213	12795
15	220	12362
16	225	11922
17	239	11930
18	246	11596
19	257	11507
20	263	11225
21	270	10956
22	276	10722
23	282	10482
24	288	10262
25	294	10043
26	298	9818
27	303	9598
28	308	9414
29	313	9224
30	317	9044
31	322	8885
32	327	8741
33	332	8597
34	337	8482
35	342	8349
36	347	8229
37	352	8116
38	357	8024
39	362	7923
40	367	7833
41	372	7736
42	377	7646
43	382	7557
44	386	7471
45	392	7397
46	397	7323
47	402	7253
48	406	7180
49	412	7128
50	417	7062
51	423	7026
52	428	6956
53	433	6903
54	439	6858
55	444	6807
56	450	6768
57	454	6710
58	459	6659
59	464	6616
60	469	6566
61	474	6518
62	479	6475
63	484	6429
64	488	6384
65	493	6345
66	498	6300
67	502	6255
68	508	6226
69	513	6188
70	518	6153
71	523	6124
72	528	6089
73	533	6055
74	539	6032
75	544	6000
76	549	5969
77	554	5945
78	559	5914
79	564	5887
80	569	5861
81	574	5828
82	579	5803
83	584	5775
84	589	5746
85	594	5723
86	599	5696
87	604	5670
88	609	5645
89	614	5623
90	618	5596
91	624	5577
92	628	5551
93	633	5525
94	638	5505
95	643	5481
96	648	5464
97	655	5457
98	661	5445
99	666	5427
100	671	5404
101	676	5382
102	681	5364
103	686	5343
104	690	5323
105	696	5309
106	701	5288
107	706	5269
108	711	5252
109	715	5232
110	720	5212
111	726	5199
112	730	5179
113	735	5160
114	740	5148
115	745	5127
116	749	5108
117	755	5093
118	760	5079
119	765	5067
120	770	5050
121	774	5030
122	779	5013
123	784	4999
124	789	4983
125	794	4969
126	799	4951
127	803	4933
128	808	4917
129	813	4907
130	818	4891
131	822	4875
132	828	4864
133	832	4848
134	837	4832
135	842	4817
136	846	4802
137	851	4786
138	856	4775
139	861	4764
140	868	4759
141	877	4767
142	882	4759
143	889	4753
144	895	4748
145	900	4736
146	905	4726
147	910	4714
148	915	4702
149	920	4688
150	925	4676
151	930	4663
152	934	4650
153	940	4639
154	944	4626
155	949	4613
156	954	4602
157	959	4589
158	963	4576
159	968	4563
160	973	4553
161	978	4541
162	983	4531
163	988	4519
164	992	4507
165	997	4496
166	1002	4484
167	1007	4475
168	1012	4465
169	1017	4453
170	1022	4442
171	1027	4434
172	1032	4422
173	1037	4413
174	1043	4406
175	1048	4395
176	1052	4384
177	1058	4377
178	1063	4365
179	1067	4354
180	1072	4343
181	1077	4334
182	1082	4325
183	1087	4316
184	1092	4305
185	1097	4294
186	1102	4285
187	1106	4274
188	1112	4267
189	1117	4259
190	1122	4250
191	1128	4244
192	1134	4239
193	1140	4232
194	1146	4228
195	1151	4219
196	1158	4214
197	1163	4206
198	1168	4198
199	1176	4199
200	1181	4192
201	1187	4186
202	1192	4178
203	1198	4171
204	1204	4166
205	1209	4158
206	1216	4155
207	1224	4156
208	1230	4149
209	1237	4150
210	1243	4142
211	1249	4135
212	1253	4125
213	1297	4243
214	1308	4252
215	1319	4264
216	1354	4349
217	1363	4352
218	1374	4361
219	1379	4352
220	1410	4423
221	1415	4411
222	1419	4399
223	1424	4387
224	1428	4375
